fid,TIPO,FECHA,POINT_X,POINT_Y,ELEV_TERR,DEUT_2H,OXIG_18,Month,CooX,CooY,Lon,Lat,PROF_MAX,P/GW,O18,2H,,,
181,Pozo profundo,10/31/2017,969600,1026500,2636,-68.9,-9.88,10,571901.1099,534546.746,-74.35156376,4.835786632,350,0.850775,-8.40565872,-57.53739929,,,
226,Pozo profundo,1/01/1998,979500,1027000,2607,-71.9,-10.09,1,581797.1064,535060.0175,-74.26231693,4.840338354,350,0.909239,-9.17422104,-63.31170654,,,
227,Pozo profundo,10/31/2017,979500,1027000,2607,-71.9,-10.09,10,581797.1064,535060.0175,-74.26231693,4.840338354,350,0.909239,-9.17422104,-63.31170654,,,
81,Pozo profundo,1/01/2001,982800,1016630,2576,-73.77,-10.68,1,585110.0017,524697.7652,-74.23254613,4.74656963,353,0.718135,-7.66967726,-55.86472702,,,
287,Pozo profundo,1/01/2001,982190,996620,2553.390874,-60.76,-10.67,1,584526.3395,504693.2832,-74.23800355,4.56561673,356.7,1.035349,-11.04716969,-76.20205688,,,
300,Pozo profundo,1/01/1998,982190,996620,2553.390874,-69.2,-9.82,1,584526.3395,504693.2832,-74.23800355,4.56561673,356.7,1.124966,-11.04716969,-76.20205688,,,
301,Pozo profundo,10/31/2017,982190,996620,2553.390874,-69.2,-9.82,10,584526.3395,504693.2832,-74.23800355,4.56561673,356.7,1.124966,-11.04716969,-76.20205688,,,
108,Pozo profundo,1/01/1998,971889,1018639,2583,-74.6,-10.58,1,574199.9073,526691.5446,-74.33090235,4.764707879,359,0.758146,-8.02118111,-60.93054962,,,
109,Pozo profundo,10/31/2017,971889,1018639,2583,-74.6,-10.58,10,574199.9073,526691.5446,-74.33090235,4.764707879,359,0.758146,-8.02118111,-60.93054962,,,
212,Pozo somero,1/01/1998,1024630,1045980,2586,-67,-9.72,1,626888.8536,554097.3496,-73.85540987,5.011962483,37,0.885894,-8.61088562,-57.81786346,,,
268,Pozo profundo,11/19/2010,999917,1017843,2557.667751,-65.6,-9.34,11,602220.3651,525933.2356,-74.07825608,4.757556289,389,0.982488,-9.17644119,-62.95465469,,,
254,Pozo somero,11/05/2010,998870,1012366,2544.976547,-65.8,-9.61,11,601180.9252,520456.3395,-74.08769302,4.708027284,39,0.946339,-9.09431553,-62.12532806,,,
146,Pozo somero,1/01/1998,1014360,1051210,2588,-70.7,-10.27,1,616613.7451,559311.6746,-73.94800878,5.05928212,40,0.824283,-8.46538639,-56.39035416,,,
266,Pozo somero,1/01/1998,998730,1031940,2598,-65.9,-9.34,1,601014.6164,540024.7797,-74.08895783,4.885036113,40,0.981861,-9.17058468,-61.18350983,,,
40,Pozo profundo,1/01/1998,981030,1017030,2577,-74.3,-10.6,1,583340.03,525095.2799,-74.24850149,4.750183074,424,0.631758,-6.69663239,-42.54536819,,,
41,Pozo profundo,10/31/2017,981030,1017025,2577,-74.3,-10.6,10,583340.0367,525090.2815,-74.24850147,4.750137859,424,0.631758,-6.69663239,-42.54536819,,,
294,Pozo profundo,11/04/2010,990068,999710,2559.82756,-81.3,-11.41,11,592397.9548,507792.4615,-74.16701414,4.593572296,437,1.074341,-12.25822926,-87.26712036,,,
27,Pozo somero,11/18/2010,999221,1015585,2561.715254,-67.7,-9.66,11,601527.5629,523674.9235,-74.08452962,4.737136995,44.8,0.614343,-5.93454885,-39.49258041,,,
21,Pozo profundo,1/01/2001,994111,1005719,2547.166635,-73.94,-11.77,1,596431.9849,513804.9541,-74.13058307,4.647915936,450,0.601832,-7.08355856,-46.35876846,,,
314,Pozo profundo,1/01/1998,980816,993645,2583.584295,-72.5,-10.07,1,583156.577,501717.4741,-74.25037896,4.538710686,450,1.185586,-11.93885040,-81.94308472,,,
315,Pozo profundo,10/31/2017,980815,993645,2583.584295,-72.5,-10.07,10,583155.5773,501717.4729,-74.25038797,4.538710684,450,1.185586,-11.93885040,-81.94308472,,,
328,Pozo profundo,1/01/1998,980426,993341,2586,-69.8,-9.67,1,582767.089,501413.0749,-74.25389265,4.535960738,450,1.234628,-11.93885040,-84.26103973,,,
329,Pozo profundo,10/31/2017,980445,993315,2588,-69.8,-9.67,10,582786.116,501387.1074,-74.25372138,4.53572566,450,1.234628,-11.93885040,-84.26103973,,,
13,Pozo profundo,11/18/2010,990319,1011098,2546.385173,-71.9,-10.16,11,592634.0355,519177.4168,-74.16476482,4.696555269,457,0.590236,-5.99679518,-34.85771179,,,
19,Pozo profundo,1/01/1998,978985,1017330,2573.497939,-73.6,-10.75,1,581295.2884,525392.4567,-74.26693557,4.752891164,464.501,0.600669,-6.45719147,-39.75224304,,,
20,Pozo profundo,10/31/2017,978985,1017330,2573.497939,-73.6,-10.75,10,581295.2884,525392.4567,-74.26693557,4.752891164,464.501,0.600669,-6.45719147,-39.75224304,,,
23,Pozo profundo,10/31/2017,979430,1015435,2569,-72.6,-10.72,10,581742.6671,523498.663,-74.26291982,4.73575572,466,0.60235,-6.45719147,-39.75224304,,,
36,Pozo profundo,1/01/1998,987430,1017710,2572,-72.7,-10.26,1,589737.1309,525783.6047,-74.19081366,4.756344241,471,0.629356,-6.45719147,-39.75224304,,,
38,Pozo profundo,10/31/2017,987430,1017710,2572,-72.7,-10.26,10,589737.1309,525783.6047,-74.19081366,4.756344241,471,0.629356,-6.45719147,-39.75224304,,,
22,Pozo profundo,1/01/1998,979421,1015401,2571,-72.6,-10.72,1,581733.7152,523464.6621,-74.26300086,4.735448236,475,0.60235,-6.45719147,-39.75224304,,,
320,Pozo somero,1/01/1998,981816,992356,2595,-70.6,-9.86,1,584157.8983,500430.1568,-74.24136515,4.527056245,48,1.206663,-11.89770031,-82.83701324,,,
34,Pozo profundo,10/28/2010,991087,1010782,2546.019433,-75,-10.68,10,593402.2254,518862.5219,-74.15784235,4.693698489,483,0.628329,-6.71055126,-44.50134659,,,
9,Pozo profundo,1/01/1998,981405,1013040,2563,-74.1,-10.62,1,583720.2088,521107.0502,-74.24511261,4.714102183,500,0.56467,-5.99679518,-34.85771179,,,
10,Pozo profundo,10/31/2017,981405,1013635,2566,-74.1,-10.62,10,583719.4212,521701.8608,-74.2451139,4.719482793,500,0.565809,-6.00889492,-34.85771179,,,
62,Pozo profundo,1/01/2001,981300,1013550,2566,-69.81,-8.82,1,583614.5672,521616.7488,-74.24606012,4.718713905,500,0.681281,-6.00889492,-34.85771179,,,
58,Pozo profundo,11/04/2010,993901,1005872,2545.122823,-72.6,-10.57,11,596221.8454,513957.6363,-74.13247582,4.649299384,513,0.670157,-7.08355856,-46.35876846,,,
2,Pozo profundo,1/01/2001,993310,1016350,2568,-68.08,-12.49,1,595617.2049,524431.845,-74.13781041,4.74405235,526,0.497129,-6.20913935,-37.86997986,,,
18,Pozo profundo,10/28/2010,995203,1009149,2547.642403,-68.5,-10.06,10,597519.1849,517235.4063,-74.12074322,4.678934414,532,0.599782,-6.03381062,-37.64550400,,,
31,Pozo profundo,11/03/2010,994412,1009171,2546.061082,-68.6,-10.1,11,596728.381,517256.3614,-74.12787251,4.679132885,532,0.622668,-6.28895140,-40.25968933,,,
259,Pozo somero,1/01/1998,976580,1026240,2621,-65.2,-9.08,1,578879.0927,534296.3029,-74.2886387,4.833457985,54,0.960175,-8.71839237,-63.29211044,,,
28,Pozo profundo,1/01/1998,987495,1011210,2566,-78.7,-10.91,1,589810.7333,519285.6609,-74.19021826,4.697564444,554,0.615083,-6.71055126,-44.50134659,,,
29,Pozo profundo,10/31/2017,987495,1011210,2566,-76.7,-10.91,10,589810.7333,519285.6609,-74.19021826,4.697564444,554,0.615083,-6.71055126,-44.50134659,,,
33,Pozo profundo,1/01/1999,987495,1011210,2566,-72.6,-10.72,1,589810.7333,519285.6609,-74.19021826,4.697564444,554,0.625984,-6.71055126,-44.50134659,,,
68,Pozo somero,11/09/2010,1000907,1005012,2557.783822,-62.7,-9.4,11,603227.0201,513107.009,-74.06933357,4.641524416,58.4,0.686215,-6.45042133,-38.04969788,,,
15,Pozo profundo,1/01/2001,983480,1012100,2566,-75.35,-11.91,1,585795.7959,520170.0895,-74.22640798,4.705605974,581,0.590582,-7.03383446,-48.51347351,,,
138,Pozo somero,1/01/1998,970016,1025940,2637,-67.2,-9.7,1,572317.7247,533987.5049,-74.34781155,4.830724088,60,0.816527,-7.92031288,-53.06278992,,,
139,Pozo somero,10/31/2017,970016,1025940,2637,-67.2,-9.7,10,572317.7247,533987.5049,-74.34781155,4.830724088,60,0.816527,-7.92031288,-53.06278992,,,
262,Pozo somero,1/01/1998,1014450,1038630,2585,-66,-9.64,1,616721.3835,546734.7582,-73.94721965,4.94552126,60,0.967074,-9.32259178,-64.66546631,,,
323,Pozo somero,11/04/2010,989480,1000258,2548.09542,-76.2,-10.78,11,591809.4227,508339.5403,-74.17231379,4.598527229,60.6,1.216646,-13.11544323,-94.60847473,,,
174,Pozo somero,1/01/1998,1023000,1050000,2592,-71.2,-10.17,1,625253.5232,558114.1993,-73.87009662,5.048319917,62,0.846695,-8.61088562,-57.81786346,,,
219,Pozo somero,1/01/1998,1001300,1033340,2584,-76.1,-10.22,1,603581.9973,541427.9272,-74.06578731,4.897696356,62,0.897317,-9.17058468,-61.18350983,,,
339,Pozo somero,11/05/2010,988578,1002747,2549.125818,-72.1,-10.24,11,590904.4724,510826.6291,-74.18044582,4.62103436,64,1.273546,-13.04111195,-94.81958008,,,
202,Pozo somero,1/01/1998,1012070,1048290,2600,-71.3,-9.84,1,614328.4251,556389.1273,-73.96866448,5.032880429,68,0.87509,-8.61088562,-57.81786346,,,
203,Pozo somero,1/01/1999,1012070,1048290,2600,-71.3,-9.84,1,614328.4251,556389.1273,-73.96866448,5.032880429,68,0.87509,-8.61088562,-57.81786346,,,
292,Pozo somero,1/01/1998,989755,999620,2559.664424,-82.7,-11.22,1,592085.1637,507702.0848,-74.16983476,4.592758057,68,1.0615,-11.91002941,-87.26712036,,,
336,Pozo somero,1/01/1999,989755,999620,2559.664424,-69.9,-9.53,1,592085.1637,507702.0848,-74.16983476,4.592758057,68,1.249741,-11.91002941,-87.26712036,,,
137,Pozo somero,1/01/1998,1018450,1043910,2588,-76.3,-10.37,1,620713.1008,552019.1227,-73.91114181,4.993260096,70,0.816344,-8.46549129,-57.07544708,,,
182,Pozo somero,1/01/1998,1012340,1046670,2587,-72.2,-10.11,1,614600.6447,554769.898,-73.96623219,5.018230389,70,0.85172,-8.61088562,-57.81786346,,,
206,Pozo somero,1/01/1998,1022270,1043600,2586,-65.4,-9.64,1,624532.6947,551714.5423,-73.87669735,4.990447147,70,0.878163,-8.46549129,-57.07544708,,,
207,Pozo somero,10/31/2017,1022270,1043600,2586,-65.4,-9.64,10,624532.6947,551714.5423,-73.87669735,4.990447147,70,0.878163,-8.46549129,-57.07544708,,,
278,Pozo somero,1/01/1998,1012850,1033830,2583,-64.9,-9.27,1,615128.3951,541933.6846,-73.96165352,4.902117505,70,1.013208,-9.39244175,-63.46318817,,,
279,Pozo somero,10/31/2017,1012850,1033830,2583,-64.9,-9.27,10,615128.3951,541933.6846,-73.96165352,4.902117505,70,1.013208,-9.39244175,-63.46318817,,,
252,Pozo somero,1/01/1998,998425,1030800,2596,-69.2,-9.75,1,600711.2614,538884.6755,-74.0917074,4.874726998,71.5,0.940573,-9.17058468,-61.18350983,,,
253,Pozo somero,10/31/2017,998425,1030800,2596,-69.2,-9.75,10,600711.2614,538884.6755,-74.0917074,4.874726998,71.5,0.940573,-9.17058468,-61.18350983,,,
228,Pozo somero,1/01/1998,1000580,1023530,2554.770875,-67.3,-9.42,1,602875.5517,531619.5859,-74.0722794,4.80898417,75,0.909765,-8.56998634,-58.28411484,,,
229,Pozo somero,10/31/2017,1000580,1023530,2554.770875,-67.3,-9.42,10,602875.5517,531619.5859,-74.0722794,4.80898417,75,0.909765,-8.56998634,-58.28411484,,,
12,Pozo somero,11/08/2010,991891,1013258,2541.664923,-69,-9.86,11,594202.7208,521338.8583,-74.15059809,4.716089942,80,0.582196,-5.74045324,-32.92092133,,,
59,Pozo somero,1/01/1998,987010,1020270,2581,-76.3,-10.9,1,589313.8333,528342.2653,-74.19460345,4.779493812,80,0.673545,-7.34163952,-49.53143311,,,
60,Pozo somero,10/31/2017,987010,1020270,2581,-76.3,-10.9,10,589313.8333,528342.2653,-74.19460345,4.779493812,80,0.673545,-7.34163952,-49.53143311,,,
72,Pozo somero,1/01/1999,987010,1020270,2581,-72.6,-10.44,1,589313.8333,528342.2653,-74.19460345,4.779493812,80,0.703222,-7.34163952,-49.53143311,,,
277,Pozo somero,1/01/1998,997170,1032460,2602,-60.9,-9.08,1,599454.3348,540542.4963,-74.10302248,4.889738103,80,1.009976,-9.17058468,-61.18350983,,,
306,Pozo somero,10/31/2017,997170,1032460,2602,-60.9,-8.08,10,599454.3348,540542.4963,-74.10302248,4.889738103,80,1.134973,-9.17058468,-61.18350983,,,
95,Pozo somero,1/01/2001,1022600,1046450,2585,-70.38,-11.47,1,624858.6221,554564.3936,-73.87371375,5.016218627,82,0.738046,-8.46538639,-56.39035416,,,
126,Pozo somero,1/01/2001,1002950,1014345,2555.274413,-86.52,-10.22,1,605257.2079,522440.2081,-74.05091782,4.725923105,82,0.79475,-8.12234020,-51.76466751,,,
143,Pozo somero,1/01/1998,1022600,1046450,2585,-74.3,-10.33,1,624858.6221,554564.3936,-73.87371375,5.016218627,82,0.819495,-8.46538639,-56.39035416,,,
144,Pozo somero,10/31/2017,1022600,1046450,2585,-74.3,-10.33,10,624858.6221,554564.3936,-73.87371375,5.016218627,82,0.819495,-8.46538639,-56.39035416,,,
240,Pozo somero,1/01/1999,1004620,1032750,2575,-72.4,-10.26,1,606901.9314,540842.6434,-74.03585501,4.892359774,82,0.915443,-9.39244175,-63.46318817,,,
270,Pozo somero,1/01/1998,1004620,1032750,2575,-69.9,-9.53,1,606901.9314,540842.6434,-74.03585501,4.892359774,82,0.985566,-9.39244175,-63.46318817,,,
271,Pozo somero,10/31/2017,1004620,1032750,2575,-69.9,-9.53,10,606901.9314,540842.6434,-74.03585501,4.892359774,82,0.985566,-9.39244175,-63.46318817,,,
260,Pozo somero,1/01/1998,1009800,1034770,2667,-70.5,-9.92,1,612077.8413,542869.2569,-73.98915089,4.910622144,83,0.962791,-9.55089092,-65.38139343,,,
261,Pozo somero,10/31/2017,1009800,1034770,2667,-70.5,-9.92,10,612077.8413,542869.2569,-73.98915089,4.910622144,83,0.962791,-9.55089092,-65.38139343,,,
51,Pozo somero,11/16/2010,1004157,1011530,2552.400684,-61.2,-9.1,11,606467.6148,519627.543,-74.04003978,4.700466333,86,0.658988,-5.99679518,-34.85771179,,,
192,Pozo somero,1/01/1998,1025540,1047500,2583,-67.4,-9.9,1,627796.5233,555618.3151,-73.84719928,5.025704893,86,0.869786,-8.61088562,-57.81786346,,,
193,Pozo somero,10/31/2017,1025540,1047500,2583,-67.4,-9.9,10,627796.5233,555618.3151,-73.84719928,5.025704893,86,0.869786,-8.61088562,-57.81786346,,,
175,Pozo somero,11/18/2010,1004952,1023398,2557.785484,-65.7,-10,11,607246.574,531493.5203,-74.03286733,4.807789044,86.44,0.847074,-8.47073555,-58.81492233,,,
198,Pozo somero,1/01/1998,1022700,1044500,2586,-71.4,-9.85,1,624961.3409,552614.9518,-73.87281749,4.998584603,88.5,0.874202,-8.61088562,-57.81786346,,,
199,Pozo somero,10/31/2017,1022700,1044500,2586,-71.4,-9.85,10,624961.3409,552614.9518,-73.87281749,4.998584603,88.5,0.874202,-8.61088562,-57.81786346,,,
151,Pozo somero,1/01/2000,990226,1025990,2587,-75.4,-10.54,1,592521.1548,534064.8847,-74.16562019,4.831224378,90,0.827172,-8.71839237,-62.01530838,,,
213,Pozo somero,1/01/1999,970817,1027100,2683,-72,-10.345,1,573116.8733,535148.1901,-74.34059469,4.841216753,90,0.886827,-9.17422104,-63.31170654,,,
223,Pozo somero,1/01/1998,970817,1027100,2683,-70,-10.11,1,573116.8733,535148.1901,-74.34059469,4.841216753,90,0.90744,-9.17422104,-63.31170654,,,
224,Pozo somero,10/31/2017,970817,1027100,2683,-70,-10.11,10,573116.8733,535148.1901,-74.34059469,4.841216753,90,0.90744,-9.17422104,-63.31170654,,,
230,Pozo somero,1/01/1998,999845,1032660,2604,-72.9,-10.08,1,602128.3241,540746.1124,-74.07890536,4.891547194,90,0.90978,-9.17058468,-61.18350983,,,
232,Pozo somero,10/31/2017,999845,1032660,2604,-72.9,-10.08,10,602128.3241,540746.1124,-74.07890536,4.891547194,90,0.90978,-9.17058468,-61.18350983,,,
242,Pozo somero,1/01/1998,1009700,1038220,2579,-68.9,-9.89,1,611973.0967,546318.2672,-73.99004842,4.941820663,90,0.920196,-9.10073471,-62.40465546,,,
243,Pozo somero,10/31/2017,1009700,1038220,2579,-68.9,-9.89,10,611973.0967,546318.2672,-73.99004842,4.941820663,90,0.920196,-9.10073471,-62.40465546,,,
244,Pozo somero,1/01/1998,993830,1028390,2591,-70.6,-9.93,1,596120.843,536469.0818,-74.13313204,4.852931125,90,0.921279,-9.14829636,-63.24267197,,,
245,Pozo somero,10/31/2017,993830,1028390,2591,-70.5,-9.93,10,596120.843,536469.0818,-74.13313204,4.852931125,90,0.921279,-9.14829636,-63.24267197,,,
321,Pozo somero,11/02/2010,992595,998934,2555.354091,-73.9,-10.38,11,594925.2136,507019.9442,-74.14424042,4.58655734,90,1.21103,-12.57049465,-90.59410095,,,
331,Pozo somero,1/01/1998,989273,1000460,2547.413451,-74.5,-10.51,1,591602.2237,508541.2129,-74.17417952,4.600353684,90,1.239521,-13.02736282,-94.82211304,,,
332,Pozo somero,10/31/2017,989273,1000460,2547.413451,-74.5,-10.51,10,591602.2237,508541.2129,-74.17417952,4.600353684,90,1.239521,-13.02736282,-94.82211304,,,
231,Pozo somero,1/01/1999,1003820,1034500,2581,-70.6,-10.08,1,606099.7336,542591.087,-74.04306682,4.908185487,93,0.90978,-9.17058468,-61.18350983,,,
257,Pozo somero,1/01/1998,1003820,1034500,2581,-70.7,-9.63,1,606099.7336,542591.087,-74.04306682,4.908185487,93,0.952293,-9.17058468,-61.18350983,,,
258,Pozo somero,10/31/2017,1003820,1034500,2581,-70.7,-9.63,10,606099.7336,542591.087,-74.04306682,4.908185487,93,0.952293,-9.17058468,-61.18350983,,,
64,Pozo somero,10/31/2017,1002800,1020470,2554.539597,-63.3,-9.55,10,605099.0765,528563.3906,-74.05226784,4.781311961,96,0.683805,-6.53033352,-39.23252487,,,
73,Pozo somero,1/01/1998,1002300,1020470,2554.578104,-63.3,-9.55,1,604599.209,528562.7197,-74.056775,4.781312112,96,0.706542,-6.74747562,-42.10700226,,,
65,Pozo somero,1/01/1998,1020780,1054660,2593,-89,-12.66,1,623027.3739,562770.0337,-73.8901041,5.09046609,97,0.685441,-8.67768574,-56.63957214,,,
66,Pozo somero,10/31/2017,1020780,1054660,2593,-89,-12.66,10,623027.3739,562770.0337,-73.8901041,5.09046609,97,0.685441,-8.67768574,-56.63957214,,,
